sequence_id	family	role	length_aa	has_dyad	n_dyad_hits
A.v.I1|CL1|IIB1|Azotobacter_GII	GII	derivation	563	YES	2
A.v.I3|CL1|IIB1|Azotobacter_GII	GII	derivation	505	YES	1
AAA25159.1_AbiA	AbiA	challenge	628	YES	2
AAB68949.1_GII	GII	development	490	YES	1
AAL40743.1_Retrons	Retrons	derivation	514	YES	1
ABS14021.1_UG3	UG3	challenge	424	YES	1
ACV77640.1_CRISPR	CRISPR	challenge	311	YES	1
ACY91017.1_Retrons	Retrons	derivation	311	YES	1
ADE85031.1_CRISPR	CRISPR	challenge	533	YES	1
ADN17996.1_CRISPR	CRISPR	derivation	671	YES	1
ADO77309.1_GII	GII	challenge	415	YES	1
ADP10728.1_Retrons	Retrons	challenge	323	YES	1
ADT87873.1_UG3	UG3	derivation	450	YES	1
ADT93102.1_GII	GII	derivation	504	YES	1
ADZ89953.1_CRISPR	CRISPR	derivation	957	YES	1
AEE59814.1_GII	GII	derivation	307	YES	1
AEE60032.1_GII	GII	derivation	566	YES	1
AER32995.1_Retrons	Retrons	challenge	572	YES	1
AESD01001019.1_867_1925_-_DGRs	DGRs	development	352	YES	2
AEW07027.1_GII	GII	challenge	414	YES	1
AEX51577.1_Retrons	Retrons	derivation	613	YES	1
AEY65236.1_Retrons	Retrons	challenge	347	YES	1
AFK55773.1_CRISPR	CRISPR	derivation	663	YES	1
AFK67108.1_GII	GII	challenge	417	YES	1
AFM05814.1_Retrons	Retrons	derivation	532	YES	1
AFM35311.1_Retrons	Retrons	derivation	392	NO	0
AFM64702.1_GII	GII	derivation	572	YES	1
AFR49048.1_Retrons	Retrons	derivation	469	YES	1
AFW97271.1_DGRs	DGRs	development	352	YES	1
AFY33126.1_CRISPR	CRISPR	derivation	673	YES	1
AFY39963.1_DGRs	DGRs	development	356	YES	1
AFY57343.1_CRISPR	CRISPR	derivation	320	YES	1
AFY92545.1_GII	GII	challenge	471	YES	1
AFY96279.1_Retrons	Retrons	derivation	471	YES	1
AFY99362.1_CRISPR	CRISPR	derivation	668	YES	1
AFZ16538.1_AbiA	AbiA	derivation	642	YES	1
AFZ22158.1_CRISPR	CRISPR	derivation	667	YES	1
AFZ23440.1_Retrons	Retrons	derivation	362	YES	1
AFZ61061.1_CRISPR	CRISPR	derivation	668	YES	1
AGA89197.1_CRISPR	CRISPR	challenge	279	YES	2
AGB49377.1_CRISPR	CRISPR	development	396	YES	1
AGF79254.1_Retrons	Retrons	challenge	258	YES	1
AGK12906.1_GII	GII	development	286	YES	1
AGK99452.1_GII	GII	challenge	414	YES	2
AGM03404.1_Retrons	Retrons	derivation	341	YES	1
AGP84397.1_GII	GII	derivation	523	YES	1
AGQ03690.1_UG3	UG3	challenge	411	YES	1
AGU51509.1_Retrons	Retrons	derivation	586	YES	1
AGU89152.1_GII	GII	development	462	YES	1
AGU89564.1_GII	GII	development	462	YES	1
AGV11482.1_Retrons	Retrons	challenge	300	YES	1
AJE20012.1_UG3	UG3	challenge	420	YES	1
AJWF01000011.1_80825_81892_+_DGRs	DGRs	development	355	YES	1
AKB21960.1_CRISPR	CRISPR	development	401	YES	1
AKB26318.1_CRISPR	CRISPR	development	422	YES	1
AKB36824.1_CRISPR	CRISPR	derivation	410	YES	1
AKB78445.1_CRISPR	CRISPR	derivation	377	YES	1
ALVJ01000038.1_53875_54924_-_DGRs	DGRs	development	349	YES	2
ALVJ01000040.1_680689_681777_-_DGRs	DGRs	development	362	YES	2
ALVK01000015.1_190665_191771_+_DGRs	DGRs	development	368	YES	2
ALVN01000008.1_126931_128022_+_DGRs	DGRs	development	363	YES	2
ALVR01000007.1_368607_369662_+_DGRs	DGRs	development	351	YES	2
ALVW01000006.1_382256_383314_+_DGRs	DGRs	development	352	YES	2
ALWB01000040.1_8369_9409_+_DGRs	DGRs	development	346	YES	1
AMFJ01002827.1_6101_7135_+_DGRs	DGRs	challenge	344	YES	1
AMFJ01005734.1_3180_4127_-_DGRs	DGRs	challenge	315	YES	1
AMFJ01005865.1_1752_2783_+_DGRs	DGRs	derivation	343	YES	1
ANFJ01000002.1_3467092_3468171_-_DGRs	DGRs	development	359	YES	2
ANKN01000155.1_13141_14229_-_DGRs	DGRs	development	362	YES	1
ANKO01000117.1_3507_4655_+_DGRs	DGRs	development	382	YES	1
Acv.sp.I1|Bacterial_GII	GII	development	473	YES	1
Ag.r.I1|CL1|IIB1|Agrobacterium_GII	GII	derivation	497	YES	1
Ag.ra.I1|Bacterial_GII	GII	challenge	419	YES	1
Als.sh.I1|CL1|IIB1|Alistipes_GII	GII	derivation	558	YES	1
Als.sh.I2|CL1|IIB1|Alistipes_GII	GII	derivation	553	YES	1
Alx.bo.I1|CL1|IIB1|Alcanivorax_GII	GII	derivation	552	YES	1
An.pr.I1|CL1|IIB1|Anaerococcus_GII	GII	derivation	556	YES	1
B.h.I1|Bacterial_GII	GII	development	418	YES	1
BA000019.2_4211334_4212392_+_DGRs	DGRs	development	352	YES	2
BAK34153.1_CRISPR	CRISPR	derivation	625	YES	2
BAM87142.1_Retrons	Retrons	derivation	354	YES	1
BAU44853.1_CRISPR	CRISPR	challenge	575	YES	2
Ba.t.I1|CL1|IIB1|Bacteroides_GII	GII	derivation	552	YES	1
Ba.t.I4|Bacterial_GII	GII	challenge	430	YES	1
Br.j.I1|Bacterial_GII	GII	challenge	414	YES	1
Br.sp.I1|Bacterial_GII	GII	development	455	YES	1
Brb.br.I1|Bacterial_GII	GII	development	417	YES	1
CAJ74578.1_CRISPR	CRISPR	derivation	316	YES	1
CBH37051.1_GII	GII	challenge	414	YES	1
CBK66700.1_Retrons	Retrons	development	739	YES	1
CBK77439.1_GII	GII	challenge	324	YES	1
CBK78440.1_Retrons	Retrons	challenge	337	YES	1
CBK78627.1_Retrons	Retrons	derivation	365	YES	1
CBK79388.1_Retrons	Retrons	development	274	YES	1
CBK99617.1_Retrons	Retrons	challenge	308	YES	1
CBL03706.1_Retrons	Retrons	derivation	307	YES	1
CBL28738.1_CRISPR	CRISPR	development	338	YES	1
CBL38232.1_Retrons	Retrons	development	549	YES	1
CBW21586.1_Retrons	Retrons	challenge	370	YES	1
CBW21731.1_Retrons	Retrons	challenge	285	YES	1
CBW25680.1_Retrons	Retrons	derivation	321	YES	1
CCD07470.1_GII	GII	challenge	414	YES	1
CCD08312.1_Retrons	Retrons	development	541	YES	1
CCE23849.1_GII	GII	challenge	416	YES	1
CCG98767.1_GII	GII	derivation	571	YES	1
CCU70786.1_Retrons	Retrons	challenge	300	YES	1
CDA46061.1_UG3	UG3	derivation	392	YES	1
CDE54369.1_CRISPR	CRISPR	challenge	253	YES	1
CDI94624.1_UG5	UG5	derivation	1006	YES	1
CP002739.1_1837008_1837916_-_NewM_AbiA	AbiA	derivation	302	YES	2
CP008876.1_32732_34618_+_NewM_AbiA	AbiA	challenge	628	YES	1
CP009507.1_2260371_2261609_-_NewM_CRISPR	CRISPR	derivation	412	YES	1
CP009514.1_3300128_3301252_+_NewM_CRISPR	CRISPR	derivation	374	YES	1
CP009520.1_293191_294351_+_NewM_CRISPR	CRISPR	derivation	386	YES	1
CP013689.1_814755_816683_+_NewM_AbiA	AbiA	derivation	642	YES	1
CP022930.1_1380780_1382675_+_NewM_AbiA	AbiA	derivation	631	YES	1
CP029476.1_1338445_1340370_-_NewM_AbiA	AbiA	challenge	641	YES	2
CP032418.1_82456_83901_+_NewM_AbiA	AbiA	derivation	481	YES	1
CP033045.1_402703_404148_-_NewM_AbiA	AbiA	derivation	481	YES	1
CP043644.1_3695891_3697876_+_NewM_AbiA	AbiA	challenge	661	YES	1
CP045711.1_3910484_3911920_-_NewM_AbiA	AbiA	derivation	478	YES	1
CQH54232.1_UG5	UG5	derivation	1043	YES	1
CRI67871.1_CRISPR	CRISPR	challenge	1015	YES	2
CRL43259.1_CRISPR	CRISPR	derivation	633	YES	1
CUH39864.1_UG3	UG3	derivation	532	YES	2
CUO77905.1_UG5	UG5	challenge	984	YES	1
CUP79502.1_UG5	UG5	development	958	YES	3
CUW01973.1_UG3	UG3	derivation	426	YES	2
CVI70780.1_CRISPR	CRISPR	development	635	YES	1
Cev.ja.I1|Bacterial_GII	GII	challenge	402	YES	1
Ch.ph.I1|CL1|IIB1|Chlorobium_GII	GII	derivation	495	YES	1
Cu.me.I1|CL1|IIB1|Cupriavidus_GII	GII	derivation	563	YES	1
Cu.me.I2|CL1|IIB1|Cupriavidus_GII	GII	derivation	571	YES	1
Cu.ta.I1|Bacterial_GII	GII	development	465	YES	1
Dh.re.I2|Bacterial_GII	GII	development	466	YES	1
E.c.I10|Bacterial_GII	GII	development	462	YES	1
E.c.I2|Bacterial_GII	GII	challenge	416	YES	1
E.c.I5|CL1|IIB1|Escherichia_GII	GII	derivation	574	YES	1
E.c.I8|CL1|IIB1|Escherichia_GII	GII	derivation	555	YES	1
EDM23124.1_CRISPR	CRISPR	challenge	377	YES	1
EFM26191.1_AbiA	AbiA	derivation	630	YES	1
EGV32680.1_CRISPR	CRISPR	derivation	288	YES	1
EGZ44982.1_CRISPR	CRISPR	development	284	YES	1
EJW09347.1_CRISPR	CRISPR	derivation	700	YES	1
EKV55684.1_Retrons	Retrons	derivation	328	NO	0
ENO18597.1_CRISPR	CRISPR	development	639	YES	2
EPN32446.1_Retrons	Retrons	derivation	388	YES	1
EPN74423.1_GII	GII	challenge	422	YES	1
EPR43525.1_Retrons	Retrons	derivation	484	YES	1
EQC00825.1_GII	GII	challenge	420	YES	1
EQC02762.1_Retrons	Retrons	derivation	391	YES	1
