cls	set_id	member_id	physical_locus_key	rt_seq_hash	rt50	type_label	f	t	model	cid	matches_existing_ncrna
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m03	DAZMUP010000004.1:269605-270570:-	4240c4ed8da0def2061f0e1dd1000c74d3010e0ab276d939227f87b87678e21c	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m03	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m09	CP099736.1:9287-10249:-	4642c15ed58a3bcb936cca58e9c547bcdd32cc4ecaff2e547e44b2f2923e235e	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m09	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m04	ABGWIB010000016.1:65395-66357:-	8b953d5b5d34fcd7ee068923bedf5858bce144b6a77626f7ecfa5611a8a8107a	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m04	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m02	CAWPZC010001720.1:105896-106861:+	534d0074aec6037aa40c35c6e01edfd90ba06b1eeb26ee97a391d51d3120db9d	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m02	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m01	JBCIHZ010000010.1:100182-101150:-	85873f5ed43feb6aea85282be52beb8bb7dce21f7b46f735751e4dbfcf6bd1fe	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m01	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m06	MGYG000476397_17:209234-210199:+	4eee45a5f9ccec962943d18e0eeef2e07d7f37f8e2b0be2e9b0459a9f5e6fedb	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m06	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m05	DBIZKH010000008.1:56142-57104:+	e4bca6467ab7cc3b2db2387fe2b3c8db0d50dae9293f31db2d24d6d5b2f24e71	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m05	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m00	NC_019393.1:994971-995933:+	8f74c90ed26c16962a89b566824d67b8b0bf5f91a12ad8aeaced0c4ffad383a9	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m00	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m08	SIHM01000015.1:5660-6622:+	cb7794cbc7f461de3b76bb9869b7e0ef0b32ff43dfe2f136f7e005e38912f16c	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-2	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m08	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_4	m09	LIUW01000013.1:36974-38197:-	3a5c646a90f7ac6f504f515f1a4c53ebf7c0bac6b3bae981b65173602bcbea50	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	I-A	-111	-21	TypeIV	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_4|m09	True
