evidence_id	region	object_named_in_source	evidence_class	source_citation	pmid	pmcid	doi	retrieval_status	locator	verbatim_quote	protein_studied	numbering_system	residues_stated	what_it_shows	what_it_does_not_show	cached_text_sha256
X-01	X	region X	OPERATIONAL_INTERVAL	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases' section	Of the two conserved retron-specific motifs, region X is a ∼16 aa segment that is between RT motifs 2 and 3 ( 21 , 22 ).	retron RTs generally (16 experimentally validated retrons)	none (motif-relative)	~16 aa segment; no residue numbers	Operational delimitation of region X as a ~16 aa segment between RT motifs 2 and 3; cited to Toro & Nisa-Martinez 2014 (ref 21) and Zimmerly & Wu 2015 (ref 22), i.e. to sequence surveys, not to an experiment	No residue numbers in any named protein; no experimental delimitation; the cited refs are reviews/surveys, not the primary experiment	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
X-02	X	NAXXH in region X	MOTIF	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Fourteen of the 16 experimentally-validated retron RTs contain an NAXXH aa sequence in region X. The two outliers, RT-Eco6 (Ec48) and RT-Mxa2 (Mx65)), contain substitutions at the asparagine residue ( Supplementary Figure S2 ).	16 experimentally validated retron RTs incl. RT-Eco6 (Ec48), RT-Mxa2 (Mx65)	n/a	none	Conservation denominator 14/16 experimentally validated retron RTs carry NAXXH; two outliers substituted at N	Not a genome-scale denominator; no statement about H being most conserved	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
X-03	X	region X	FUNCTIONAL	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019. [secondary report of Inouye et al. 1999 JBC, ref 32]	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Deletion of region X from RT-Eco1 (Ec86) and RT-Eco3 (Ec73) does not block RT-cognate msr binding, but abrogates synthesis of the msDNA product, suggesting that it may be essential in reverse transcription initiation or catalysis ( 32 ).	RT-Eco1 (Ec86), RT-Eco3 (Ec73)	n/a in this sentence	none	SECONDARY: deletion of region X in Ec86 and Ec73 retains msr binding but abolishes msDNA synthesis; this is the sole basis of the 'possibly essential for initiation or catalysis' phrasing	Does not give deletion boundaries, readout details, or whether in vivo/in vitro; primary source (Inouye 1999) could not be read (see SOURCES.tsv)	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
X-04	X	region X vs group II region 2a	TERMINOLOGY	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Notably, while both Group II intron and DGR RTs likewise contain residues between motifs 2 and 3, they lack the characteristic NAXXH motif seen in retron RTs. Deletion of region X from RT-Eco1 (Ec86) and RT-Eco3 (Ec73) does not block RT-cognate msr binding, but abrogates synthesis of the msDNA product, suggesting that it may be essential in reverse transcription initiation or catalysis ( 32 ). Notably, structures of Group II intron maturase RTs indicate that the equivalent region 2a forms an alpha helix that may stabilize the β hairpin containing the active site, influencing catalysis ( 41 , 42 ). We conjecture that region X in retron RTs may likewise stabilize the active site to promote catalysis.	retron RTs vs group II intron maturase RTs	n/a	none	Retron region X is positionally equivalent to group II intron RT region 2a (between motifs 2 and 3), NOT to group II 'domain X'; the catalysis role is explicitly a conjecture	No experimental test of the stabilization conjecture	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-01	Y	region Y	OPERATIONAL_INTERVAL	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Region Y is a ∼90 aa segment at the C-terminus of retron RTs. Region Y is defined as beginning within motif 7 at a highly conserved VTG triplet and extending to the C-terminal end of the protein ( 12 , 32 ).	retron RTs generally	none (motif-relative)	~90 aa segment; no residue numbers	Operational delimitation: region Y begins within RT motif 7 at the VTG triplet and runs to the protein C-terminus (~90 aa); attributed to Lampson et al. 2005 (ref 12) and Inouye et al. 1999 (ref 32)	No residue numbers; does not state that the interval was experimentally delimited	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-02	Y	VTG triplet	MOTIF	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019.	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Fourteen experimentally verified retron RTs contain the VTG triplet; RT-Vch2 (Vc81) and RT-Eco6 (Ec48) contain a V→I and T→H substitutions, respectively. Beyond the conserved VTG, region Y is variable.	16 experimentally validated retron RTs incl. RT-Vch2 (Vc81), RT-Eco6 (Ec48)	n/a	none	Conservation denominator 14/16 validated retron RTs; named substitutions V->I and T->H	No large-scale denominator; no claim that G is the most conserved position	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-03	Y	region Y	FUNCTIONAL	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019. [secondary report of Inouye et al. 1999 JBC, ref 32]	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Biochemical studies indicate that region Y directs the RT to its cognate msr. Deleting region Y from RT-Eco1 (Ec86) and RT-Eco3 (Ec73) abrogated their ability to bind their msrs ( 32 ).	RT-Eco1 (Ec86), RT-Eco3 (Ec73)	n/a	none	SECONDARY: the 'region Y directs the RT to its cognate msr' claim rests on region-Y deletions in exactly two RTs (Ec86, Ec73)	No deletion boundaries; no third retron; primary source not retrievable	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-04	Y	C-terminal fragment of region Y	EXPERIMENTAL_SEQUENCE	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019. [secondary report of Inouye et al. 2004 JBC, ref 36]	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Moreover, a purified C-terminal fragment of region Y of RT-Eco1 (Ec86) (residues 255–320) bound the stem-loop of msr-Eco1 (Ec86) with a K D of ∼5 × 10 −8 M, as well as a shorter fragment containing an eight base-pair stem of the msr-Eco1 (Ec86) with a three base UUU loop, but not the msr-Eco3 (Ec73). Likewise, a purified C-terminal fragment of RT-Eco3 (Ec73) containing its region Y (residues 251–311) bound the cognate msr-Eco3 (Ec73) msr tightly (though the specific K D was not measured), but not msr-Eco1 (Ec86) msr ( 36 ).	RT-Eco1 (Ec86); RT-Eco3 (Ec73)	Ec86 RT (320 aa) and Ec73 RT (316 aa) own numbering	Ec86 255-320; Ec73 stated here as 251-311 (the primary abstract of Inouye 2004 states RT-Ec73-(251-316))	Only residue-numbered interval attached to 'region Y' in the secondary literature: Ec86 255-320 binds cognate msr stem-loop (KD ~5e-8 M) and not msr-Ec73; reciprocal fragment of Ec73 binds only its own msr	DISCREPANCY: Ec73 fragment end-point differs from the primary abstract (311 vs 316); region Y as defined (~90 aa from VTG) is longer than the 66-residue fragment actually tested	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-05	Y	region Y swap	FUNCTIONAL	Simon AJ, Ellington AD, Finkelstein IJ. Retrons and their applications in genome engineering. Nucleic Acids Res 2019;47:11007-11019. [secondary report of Inouye et al. 1999 JBC, ref 32]	31598685	PMC6868368	10.1093/nar/gkz865	FULL_TEXT	Results, 'Retron reverse transcriptases'	Swapping region Ys between RT-Eco1 (Ec86) and RT-Eco3 (Ec73) produced chimeric proteins with ‘swapped’ msr recognition ( 32 ). However, all region Y studies to date have focused on Retron-Eco1 (Ec86) and Retron-Eco3 (Ec73). Additional biochemical experiments will be required to confirm that region Y broadly recognizes the stem of its cognate msr in diverse retrons.	RT-Eco1 (Ec86), RT-Eco3 (Ec73)	n/a	none	The domain-swap result (swapped msr recognition) is limited to one Ec86/Ec73 pair, and the review itself states the generalization to diverse retrons is unconfirmed	No test across many retrons; explicit caveat by the review authors	177d676c2c43c9d2a822ace8b58332b3ffe8e306723d39fa401c527ff7178ba3
Y-06	Y	C-terminal 91-residue sequence (region X/Y not named in the abstract)	EXPERIMENTAL_SEQUENCE	Inouye S, Hsu MY, Xu A, Inouye M. Highly specific recognition of primer RNA structures for 2'-OH priming reaction by bacterial reverse transcriptases. J Biol Chem 1999;274:31236-31244.	10531319		10.1074/jbc.274.44.31236	ABSTRACT_ONLY	PubMed/Europe PMC abstract	On the basis of structural comparison with HIV-1 RT, domain exchanges were carried out between two E. coli RTs, RT-Ec86 and RT-Ec73. RT-Ec86 (320 residues) and RT-Ec73 (316 residues) share only 71 identical residues (22%). From the analysis of 10 such constructs, the C-terminal 91-residue sequence of RT-Ec86 was found to be essential for the recognition of the unique stem-loop structure and the branching G residue in the primer-template RNA for retron-Ec86.	RT-Ec86 (320 residues), RT-Ec73 (316 residues)	RT-Ec86 own numbering (320 aa)	C-terminal 91 residues of RT-Ec86 (i.e. 230-320 by arithmetic, INFERENCE - not stated as residue numbers in the abstract); 10 domain-exchange constructs	Primary experiment behind region Y: domain exchanges between RT-Ec86 and RT-Ec73; the C-terminal 91-residue sequence of RT-Ec86 is required for recognition of its own stem-loop and branching G	Abstract does not use the labels 'region X' or 'region Y', does not give construct boundaries, does not mention VTG or NAXXH, and reports no region X deletion; full text not retrievable (JBC/Elsevier 403)	7edb3cbcf6319b8fa418528207bf8eba99a3d00c4606bd8ca6c434559db9ce02
