state_id	n_MAPPED	n_AMBIGUOUS	n_UNSUPPORTED	n_DELETED_STATE	n_total	mapped_fraction	denominator
107	227296	12791	6211	123083	369381	0.6153	ELIGIBLE
108	234989	8009	4334	122049	369381	0.6362	ELIGIBLE
109	234845	8714	3922	121900	369381	0.6358	ELIGIBLE
110	235014	9435	3516	121416	369381	0.6362	ELIGIBLE
111	235625	9403	3057	121296	369381	0.6379	ELIGIBLE
115	238641	10488	2913	117339	369381	0.6461	ELIGIBLE
116	242048	7798	3261	116274	369381	0.6553	ELIGIBLE
117	244893	6413	2725	115350	369381	0.6630	ELIGIBLE
118	245899	6389	2761	114332	369381	0.6657	ELIGIBLE
119	245456	7296	2793	113836	369381	0.6645	ELIGIBLE
127	238187	11060	9587	110547	369381	0.6448	ELIGIBLE
128	239645	10921	9717	109098	369381	0.6488	ELIGIBLE
129	237607	11768	10984	109022	369381	0.6433	ELIGIBLE
130	236489	13034	11077	108781	369381	0.6402	ELIGIBLE
131	235978	13238	12472	107693	369381	0.6388	ELIGIBLE
132	237137	12560	11492	108192	369381	0.6420	ELIGIBLE
133	235219	11435	11604	111123	369381	0.6368	ELIGIBLE
134	231775	13293	12819	111494	369381	0.6275	ELIGIBLE
135	228847	15833	15639	109062	369381	0.6195	ELIGIBLE
136	232906	14950	12412	109113	369381	0.6305	ELIGIBLE
137	236749	14883	11052	106697	369381	0.6409	ELIGIBLE
138	240097	14329	10303	104652	369381	0.6500	ELIGIBLE
139	242742	12556	9417	104666	369381	0.6572	ELIGIBLE
140	248473	9855	5774	105279	369381	0.6727	ELIGIBLE
145	253046	8000	6639	101696	369381	0.6851	ELIGIBLE
146	253071	9132	7601	99577	369381	0.6851	ELIGIBLE
157	230320	20179	27250	91632	369381	0.6235	ELIGIBLE
158	228225	22769	31111	87276	369381	0.6179	ELIGIBLE
159	224679	27104	35601	81997	369381	0.6083	ELIGIBLE
160	222528	31499	36144	79210	369381	0.6024	ELIGIBLE
161	191673	30124	32277	115307	369381	0.5189	ELIGIBLE
162	220516	42927	30107	75831	369381	0.5970	ELIGIBLE
163	245797	43371	21459	58754	369381	0.6654	ELIGIBLE
169	312629	10064	1418	45270	369381	0.8464	ELIGIBLE
170	317924	6714	573	44170	369381	0.8607	ELIGIBLE
171	320103	5128	253	43897	369381	0.8666	ELIGIBLE
172	320332	5105	276	43668	369381	0.8672	ELIGIBLE
173	320451	5185	254	43491	369381	0.8675	ELIGIBLE
174	320667	5123	285	43306	369381	0.8681	ELIGIBLE
175	320894	5071	288	43128	369381	0.8687	ELIGIBLE
176	321176	5035	242	42928	369381	0.8695	ELIGIBLE
177	320930	5222	377	42852	369381	0.8688	ELIGIBLE
178	320656	5460	503	42762	369381	0.8681	ELIGIBLE
179	320197	5826	748	42610	369381	0.8668	ELIGIBLE
180	313438	9509	3852	42582	369381	0.8485	ELIGIBLE
181	309348	12120	5154	42759	369381	0.8375	ELIGIBLE
