component_id	n_pairs	n_tokens	nll_U	nll_T	nll_R	d_R_minus_T	d_T_minus_U	d_R_minus_U	majority_retron_type	n_retron_types	n_pairs_T3	n_pairs_T4	in_sensitivity_population	median_rt_aa_len
CMP00006	809	151813	1.4190605947404764	1.4012990150985118	1.392627640354976	-0.008671374743535853	-0.017761579641964564	-0.026432954385500418	Ec107_like	1	762	194	0	354.0
CMP00007	735	69560	1.4488807706739657	1.4277288931549932	1.5128643549194687	0.0851354617644755	-0.021151877518972517	0.06398358424550299	TypeIV	1	665	229	0	396.0
CMP00012	280	45508	1.4169969779174945	1.3975504377012546	1.4114728632381492	0.0139224255368946	-0.019446540216239816	-0.005524114679345216	TypeIIA3_proteo	1	273	90	0	319.0
CMP00013	262	37003	1.4170696550397148	1.3977058723424347	1.3914546615525947	-0.006251210789840034	-0.01936378269728012	-0.025614993487120152	TypeIIIA1	1	244	49	0	353.0
CMP00016	199	27939	1.4134552019429816	1.388827501650149	1.4008087657381092	0.011981264087960186	-0.024627700292832566	-0.01264643620487238	TypeIIIA1	3	53	19	0	344.0
CMP00019	168	45048	1.4170892062057634	1.4002916044419156	1.3973585923766818	-0.0029330120652337754	-0.016797601763847814	-0.01973061382908159	TypeIIIA3	2	143	21	1	384.0
CMP00022	154	25299	1.4217328620789111	1.393499408693124	1.3678085337401784	-0.02569087495294564	-0.02823345338578709	-0.05392432833873273	TypeIA_IIAI	1	0	0	1	315.5
CMP00025	141	25874	1.3813679537301713	1.3725178554841868	1.3579521229326648	-0.014565732551522048	-0.008850098245984483	-0.02341583079750653	TypeIIA3_firmi	1	140	40	1	403.0
CMP00029	124	18802	1.4243000810824231	1.409397287148641	1.4281430065397278	0.018745719391086713	-0.014902793933782021	0.003842925457304691	TypeIB1	1	123	47	0	328.0
CMP00032	109	16514	1.4416597127712305	1.407154927317825	1.4311685930575242	0.024013665739699208	-0.03450478545340552	-0.01049111971370631	TypeIB1	1	64	20	0	317.0
CMP00035	90	24410	1.4198587507461242	1.4061849691788713	1.39839762836536	-0.007787340813511179	-0.013673781567252963	-0.02146112238076414	TypeIIIA3	1	65	29	1	383.0
CMP00037	75	12568	1.4174096376405712	1.3825938093062802	1.3899258674898396	0.00733205818355942	-0.03481582833429098	-0.027483770150731557	TypeIB2	1	73	25	0	329.0
CMP00041	57	8133	1.423497788070328	1.451927176615885	1.411186356159296	-0.04074082045658889	0.0284293885455571	-0.01231143191103179	TypeIC1_IC2	1	46	19	1	592.0
CMP00044	50	7388	1.4119437423730838	1.3973800151104145	1.4155205384292149	0.01814052331880034	-0.014563727262669302	0.0035767960561310375	TypeIX	1	50	24	1	325.0
CMP00046	48	7758	1.4393943989206202	1.4262188967738947	1.4418989271501745	0.015680030376279852	-0.01317550214672547	0.0025045282295543814	TypeIB1	1	3	0	0	311.5
CMP00051	39	4966	1.406664571404889	1.2790865089640808	1.240718710965031	-0.03836779799904977	-0.12757806244080827	-0.16594586043985804	OutgroupA	1	32	4	0	466.0
CMP00054	38	6192	1.3728459922534242	1.3581295900566632	1.3589342225737657	0.0008046325171024993	-0.014716402196760958	-0.013911769679658459	TypeIB2_firmi	1	28	10	1	326.0
CMP00057	35	4659	1.4262597943150606	1.3669556148780417	1.2511020160125648	-0.11585359886547697	-0.05930417943701882	-0.1751577783024958	TypeIC1_IC2	1	19	13	0	583.0
