property	stability_class	observed_value_frame1	observed_value_frame2_or_sweep	source_table	evidence	may_become_g4_target	unit	frame	denominator
conserved_position_membership	STABLE	81 conserved columns in the RT domain	82 conserved columns in the independent MAFFT frame	g2_summary.tsv; g2_second_frame.tsv	AGREE_IN_MAGNITUDE across two independent alignment frames of the same 66 proteins; residue-shuffle null returns 0 conserved columns (mean 0.00, max 0, empirical p=0.0050)	YES - this is the identifiable primary object	alignment column	ALIGN_000044 RT domain columns 261-886 vs MAFFT FFT-NS-2 re-alignment	626 columns of the stated RT domain
conserved_position_existence_vs_null	STABLE	81 observed against null max 0	same criterion, same null	g2_null_model.tsv	residue shuffling within each sequence destroys conservation entirely; the effect is not a compositional artefact	YES	alignment column	ALIGN_000044	200 null replicates
number_of_regions	UNSTABLE	6 at the declared reporting point	7 in the MAFFT frame; 5 to 16 across the 150-setting sweep at min_conserved_positions >= 2	g2_reconstructed_blocks.tsv; g2_second_frame.tsv; g2_parameter_sweep.tsv	block count is a free function of the two declared merge parameters and never separates from a column-permutation null at any gap tested (p=0.6965 at the reporting point; p range 0.3035-1.0000 over gaps 1-30)	NO - may not be fixed as a target object at 6, 7 or any other value	block	both frames and the full declared sweep	150 parameter settings; 200 null replicates; 30 gap values
region_ordering	STABLE	6 ordered regions	7 ordered regions that are an ordered refinement of the 6	g2_frame_correspondence.tsv; g2_second_frame_blocks.tsv	the additional frame-2 region arises by splitting one frame-1 region; no region reorders, and no region migrates past another in LtrA coordinates	YES - as ordered-architecture recovery, never as accuracy	ordered region series	LtrA residue coordinates, shared by both frames	6 blocks in frame 1 vs 7 in frame 2
landmark_localization_catalytic_dyad	STABLE	catalytic Y/FxDD at alignment column 783, LtrA residue 306, inside region 5 of 6	inside region 6 of 7	g2_landmark_recovery.tsv H05; g2_positive_controls.tsv C1,C2	declared positive controls C1 and C2 both PASS; the dyad was never used to place a boundary, only to test ordering after reconstruction	YES - the one landmark with an independently determinable position on any query sequence	residue position	ALIGN_000044 and MAFFT frames	4 declared controls
widest_spacer_physical_location	STABLE	widest inter-region gap at LtrA 230-304, 190 columns, 5-185 residues	same physical LtrA interval; indexed 5/6 rather than 4/5 because frame 2 splits an upstream region	g2_interblock_spacers.tsv; g2_second_frame.tsv; g2_ltra_mapping.tsv; g2_second_frame_blocks.tsv	the DIFFER verdict recorded in g2_second_frame.tsv is an index-label difference, not a positional one: both frames place the widest gap between the region ending at LtrA 230 and the region beginning at LtrA 304	YES - as a positional landmark, under its LtrA interval and never under its index	alignment columns and residues	both frames, LtrA coordinates	66 reference proteins
widest_spacer_index_label	UNSTABLE	4/5	5/6	g2_second_frame.tsv	the index depends on the region count, which is itself unstable	NO - no spacer may be named by its index	index label	both frames	9 properties compared
region_1_interval	PARTIALLY_STABLE	LtrA 39-61	LtrA 39-55; cross-frame Jaccard 0.739	g2_frame_correspondence.tsv	ONE_TO_ONE across frames but the weakest one-to-one match; lies inside the LtrA span Blocker 2005 assigns to RT0	PARTIAL - presence and approximate position only	LtrA residues	LtrA residue coordinates	6 matched regions
region_2_interval	STABLE	LtrA 79-123	LtrA 79-123; cross-frame Jaccard 1.000	g2_frame_correspondence.tsv	identical interval in both frames	PARTIAL - interval as a stability interval, never as a boundary	LtrA residues	LtrA residue coordinates	6 matched regions
region_3_interval	STABLE	LtrA 126-166	LtrA 126-170; cross-frame Jaccard 0.911	g2_frame_correspondence.tsv	ONE_TO_ONE with high overlap	PARTIAL - interval as a stability interval, never as a boundary	LtrA residues	LtrA residue coordinates	6 matched regions
region_4_interval	UNSTABLE	LtrA 170-230	splits into 3 frame-2 regions; best-match Jaccard 0.410	g2_frame_correspondence.tsv	the only region that does not have a one-to-one counterpart; this split is the entire source of the 6-versus-7 disagreement	NO - may not carry an interval claim	LtrA residues	LtrA residue coordinates	6 matched regions
region_5_interval	STABLE	LtrA 304-347	LtrA 304-345; cross-frame Jaccard 0.955	g2_frame_correspondence.tsv	ONE_TO_ONE; contains the catalytic dyad in both frames	PARTIAL - interval as a stability interval; the dyad inside it is the identifiable landmark	LtrA residues	LtrA residue coordinates	6 matched regions
region_6_interval	STABLE	LtrA 356-361	LtrA 356-361; cross-frame Jaccard 1.000	g2_frame_correspondence.tsv	identical interval in both frames	PARTIAL - interval as a stability interval, never as a boundary	LtrA residues	LtrA residue coordinates	6 matched regions
region_start_coordinates	UNSTABLE	reported starts 264,321,432,518,781,880	start dispersion across the sweep 21,54,39,58,43,5 columns	g2_block_uncertainty.tsv	the bundle itself declares edge_precision_claim=INTERVAL_ONLY for every region: the sources state a procedure and no residue edges, so no single-column edge is claimed	NO - no start coordinate may become supervised truth	alignment column	ALIGN_000044 RT domain	150 parameter settings in the declared sweep
region_end_coordinates	UNSTABLE	reported ends 288,375,479,590,827,885	end dispersion across the sweep 24,52,47,72,41,3 columns	g2_block_uncertainty.tsv	as above; maximum end dispersion is 72 columns on region 4	NO - no end coordinate may become supervised truth	alignment column	ALIGN_000044 RT domain	150 parameter settings in the declared sweep
gap_structure_spatial_signal	STABLE	largest gap 191 columns; inter-position gap CV 2.980	null mean 64.1 and 0.922; null max 142 and 1.394	g2_null_spatial_statistics.tsv	both spatial statistics separate from the column-permutation null at empirical p=0.0050, while the block count does not	YES - as a spatial property of the conserved-position set, not as a region partition	alignment columns; dimensionless	ALIGN_000044	200 replicates
total_conserved_positions_captured_in_regions	STABLE	81 of 81 at the reporting point	81 at 73 of 150 sweep settings; 36 at the most restrictive setting	g2_parameter_sweep.tsv	the merge parameters move how the conserved positions are partitioned, not which columns are conserved	YES - the conserved-position set is invariant to the merge parameters at min_conserved_positions in 1..2	alignment column	ALIGN_000044 RT domain	150 parameter settings
rt0_as_a_reconstructed_region	NOT_CONSTRUCTED	no RT0 block created	no RT0 block created	g2_nterminal_region.tsv; g2_kill_criterion.tsv	the claim that defines subdomain 0 is cross-class and is NOT_TESTABLE_ON_SUBSTRATE on a group II intron only alignment; 0 conserved columns lie N-terminal to the stated RT domain start	NO - and no RT0 occupancy of any kind may be produced	region	ALIGN_000044	n/a - one decision, recorded
