extractor	design	rep	query	shuffled	true_clade_EVALUATION	best_label	best_label_lwr	best_edge_label	best_edge_lwr	pendant	edpl	n_placements	label_lwr	aligned_frac	status	correct
v3	blocked	6	n1841	False	11	11	1.0	11	0.7158	0.7807352099	0.0400744	2	"{""11"": 1.0}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	n24	False	1	1	1.0	1	0.9485	0.4133316439	0.0217547	2	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n98	False	1	1	1.0	1	0.8894	0.772945166	0.0515252	4	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n106	False	1	1	1.0	1	0.9033	0.8053017178	0.0166248	2	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n166	False	1	1	0.9999	1	0.6766	0.7807612554	0.119675	3	"{""1"": 0.9999}"	1.0	AMBIGUOUS	True
v3	blocked	6	n286	False	1	1	1.0	1	1.0	0.2544988393	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n650	True	3	Orphan	0.4392	Orphan	0.4392	30.4488544937	3.42771	5	"{""Orphan"": 0.4392, ""1"": 0.3624, ""3"": 0.1975}"	0.7684729064039408	AMBIGUOUS	False
v3	blocked	6	SHUF_n1147	True	8	1	0.5268	8	0.4667	17.1210317565	3.61822	3	"{""8"": 0.4667, ""1"": 0.5268}"	0.6016597510373444	AMBIGUOUS	False
v3	blocked	6	SHUF_n546	True	3	1	0.9169	1	0.6169	9.3602632646	1.98694	3	"{""1"": 0.9169, ""8"": 0.0831}"	0.73568281938326	AMBIGUOUS	False
v3	blocked	6	n485	False	2	4	0.8119	4	0.8119	6.6687344176	1.70429	3	"{""4"": 0.8119, ""8"": 0.1681, ""Orphan"": 0.02}"	0.6875	AMBIGUOUS	False
v3	blocked	6	SHUF_n543	True	3	1	1.0	1	1.0	9.421432566	0.0	1	"{""1"": 1.0}"	0.7207207207207207	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1360	True	9	1	0.9298	1	0.9298	6.6588699451	0.228661	2	"{""1"": 0.9298, ""Orphan"": 0.0702}"	0.9518518518518518	AMBIGUOUS	False
v3	blocked	6	SHUF_n728	True	3	8	0.3504	3	0.3294	12.350918736	4.81153	5	"{""3"": 0.342, ""9"": 0.3076, ""8"": 0.3504}"	0.7161572052401747	AMBIGUOUS	False
v3	blocked	6	SHUF_n1606	True	9	1	0.5875	1	0.4265	15.9412831724	2.89267	5	"{""1"": 0.5875, ""8"": 0.3868, ""Orphan"": 0.0257}"	0.6682027649769585	AMBIGUOUS	False
v3	blocked	6	SHUF_n778	True	3	1	0.9933	1	0.9933	7.3717118162	0.0	1	"{""1"": 0.9933}"	0.7798165137614679	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n767	True	3	1	1.0	1	1.0	3.5992635363	0.0	1	"{""1"": 1.0}"	0.7945205479452054	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1312	True	9	1	1.0	1	1.0	8.9773706616	0.0	1	"{""1"": 1.0}"	0.8847736625514403	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n463	True	2	9	0.9687	9	0.9687	9.0466813755	0.372262	3	"{""9"": 0.9687, ""1"": 0.0175, ""3"": 0.0127}"	0.7835497835497836	AMBIGUOUS	False
v3	blocked	6	SHUF_n1191	True	8	8	0.995	8	0.995	6.1916838256	0.0	1	"{""8"": 0.995}"	0.8412017167381974	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
